train_loss,epoch,step,val_loss,val_loss_epoch,val_accuracy,test_loss,test_acc
1.8216549158096313,0,49,,,,,
1.4059399366378784,0,99,,,,,
1.5981239080429077,0,149,,,,,
1.4304487705230713,0,199,,,,,
1.4976575374603271,0,249,,,,,
1.354278326034546,0,299,,,,,
1.2708160877227783,0,349,,,,,
,0,351,1.3074103593826294,1.324667477607727,0.5096,,
1.0494821071624756,1,399,,,,,
1.2424753904342651,1,449,,,,,
1.3631300926208496,1,499,,,,,
1.057008981704712,1,549,,,,,
1.0348984003067017,1,599,,,,,
1.0047682523727417,1,649,,,,,
1.1690045595169067,1,699,,,,,
,1,703,1.0859215259552002,1.0858642220497132,0.6106,,
0.9711011052131653,2,749,,,,,
0.8745080828666687,2,799,,,,,
1.055206060409546,2,849,,,,,
1.0184391736984253,2,899,,,,,
1.1151999235153198,2,949,,,,,
0.9893364310264587,2,999,,,,,
0.995597779750824,2,1049,,,,,
,2,1055,1.0167442560195923,1.0237105682492256,0.6356,,
0.9727557301521301,3,1099,,,,,
0.9588344693183899,3,1149,,,,,
0.9465579390525818,3,1199,,,,,
0.8786444664001465,3,1249,,,,,
0.9920654296875,3,1299,,,,,
0.7712346315383911,3,1349,,,,,
0.8022335171699524,3,1399,,,,,
,3,1407,0.8482756018638611,0.8353969246149063,0.6962,,
0.8208250999450684,4,1449,,,,,
0.7879976630210876,4,1499,,,,,
0.8311883807182312,4,1549,,,,,
0.8756693005561829,4,1599,,,,,
0.7737026214599609,4,1649,,,,,
0.6358622312545776,4,1699,,,,,
0.743552565574646,4,1749,,,,,
,4,1759,0.8210576176643372,0.8410804614424705,0.7062,,
0.8325240612030029,5,1799,,,,,
0.6799625754356384,5,1849,,,,,
0.7102349996566772,5,1899,,,,,
0.9017043709754944,5,1949,,,,,
0.7844527363777161,5,1999,,,,,
1.0083093643188477,5,2049,,,,,
0.7076217532157898,5,2099,,,,,
,5,2111,0.7570367455482483,0.7471822395920753,0.7304,,
0.8279854655265808,6,2149,,,,,
0.7671623229980469,6,2199,,,,,
0.7036267518997192,6,2249,,,,,
0.8843786716461182,6,2299,,,,,
0.826225757598877,6,2349,,,,,
0.7273883819580078,6,2399,,,,,
0.7149086594581604,6,2449,,,,,
,6,2463,0.7633352279663086,0.7488780882209539,0.734,,
0.8079394698143005,7,2499,,,,,
0.6545066237449646,7,2549,,,,,
0.8361637592315674,7,2599,,,,,
0.6164981722831726,7,2649,,,,,
0.6136034727096558,7,2699,,,,,
0.7455173134803772,7,2749,,,,,
0.6533271670341492,7,2799,,,,,
,7,2815,0.7340980768203735,0.7288072675466537,0.7426,,
0.8083171248435974,8,2849,,,,,
0.6648649573326111,8,2899,,,,,
0.6926391124725342,8,2949,,,,,
0.7538200616836548,8,2999,,,,,
0.7867448329925537,8,3049,,,,,
0.7556058168411255,8,3099,,,,,
0.6265079975128174,8,3149,,,,,
,8,3167,0.7062786817550659,0.69126584995538,0.7554,,
0.5609535574913025,9,3199,,,,,
0.6018533110618591,9,3249,,,,,
0.7865371108055115,9,3299,,,,,
0.650619626045227,9,3349,,,,,
0.623812198638916,9,3399,,,,,
0.6890810132026672,9,3449,,,,,
0.705325722694397,9,3499,,,,,
,9,3519,0.7639395594596863,0.7556470721960068,0.7348,,
0.6875627636909485,10,3549,,,,,
0.6413321495056152,10,3599,,,,,
0.5616297125816345,10,3649,,,,,
0.4049918055534363,10,3699,,,,,
0.7774608135223389,10,3749,,,,,
0.6190112829208374,10,3799,,,,,
0.5141621232032776,10,3849,,,,,
,10,3871,0.5920791029930115,0.5858304642140866,0.7944,,
0.6057031750679016,11,3899,,,,,
0.38936805725097656,11,3949,,,,,
0.6549516916275024,11,3999,,,,,
0.6291269659996033,11,4049,,,,,
0.5365399718284607,11,4099,,,,,
0.5622025728225708,11,4149,,,,,
0.5287525653839111,11,4199,,,,,
,11,4223,0.5843808054924011,0.5782350540161133,0.7974,,
0.3995172083377838,12,4249,,,,,
0.42157015204429626,12,4299,,,,,
0.6203351020812988,12,4349,,,,,
0.6251168847084045,12,4399,,,,,
0.5617699027061462,12,4449,,,,,
0.5812209248542786,12,4499,,,,,
0.40302830934524536,12,4549,,,,,
,12,4575,0.5749026536941528,0.5671307187527418,0.7992,,
0.5462610125541687,13,4599,,,,,
0.4467715919017792,13,4649,,,,,
0.5100774168968201,13,4699,,,,,
0.47407010197639465,13,4749,,,,,
0.5416005849838257,13,4799,,,,,
0.47921884059906006,13,4849,,,,,
0.35960012674331665,13,4899,,,,,
,13,4927,0.5691303014755249,0.5618525393307209,0.8016,,
0.49004629254341125,14,4949,,,,,
0.7054660320281982,14,4999,,,,,
0.5674662590026855,14,5049,,,,,
0.5337022542953491,14,5099,,,,,
0.5958912372589111,14,5149,,,,,
0.3649470806121826,14,5199,,,,,
0.535819411277771,14,5249,,,,,
,14,5279,0.5649171471595764,0.5630383782088757,0.8058,,
,15,5280,,,,0.5785895208769207,0.7984
